name,address,lat,lon,is_surf,distance_km
"ВкусВилл, кафе","улица Зворыкина, 1 к4",55.693561,37.351725,False,0.022652330450230282
"camper coffee, кофейня","улица Зворыкина, 2 к2",55.69287,37.35161,False,0.06166193620047189
"Camera Obscura, экспресс-кофейня","Большой бульвар, 42 ст1",55.692318,37.347485,False,0.30330155629683453
"Clever, кофейня","Большой бульвар, 42 ст1",55.692318,37.347485,False,0.30330155629683453
"Гусси кофе, кофейня","Большой бульвар, 42 ст1",55.692318,37.347485,False,0.30330155629683453
"Urban coffee, кофейня","Большой бульвар, 42 ст1",55.692318,37.347485,False,0.30330155629683453
"One Price Coffee, кофейня","Большой бульвар, 40",55.695261,37.347135,False,0.36534407092880367
"Кофе твой друг, кофейня","Большой бульвар, 40",55.695261,37.347135,False,0.36534407092880367
"amore, кафе-джелатерия","Большой бульвар, 40",55.695261,37.347135,False,0.36534407092880367
"Буста, кофейня","Большой бульвар, 40",55.695261,37.347135,False,0.36534407092880367
"ВкусВилл, кафе","улица Зворыкина, 14 к2",55.68969,37.35164,False,0.41227240615573824
Surf Coffee x Stratos,"улица Николы Теслы, 1 ст1",55.695225,37.34532,True,0.46169246203294795
Кофейня,"Большой бульвар, 30 ст1",55.698538,37.359576,False,0.7460833617996135
57 Кофе,"Большой бульвар, 30 ст1",55.698538,37.359576,False,0.7460833617996135
"По Фрейду, экспресс-кофейня","Западная улица, ст180",55.699,37.343029,False,0.8365757524045174
"Althaus, кофейня","Большой бульвар, 44",55.685797,37.351482,False,0.8452185922473885
"Surf coffee x Startup, кофейня","Западная улица, 181",55.699497,37.343649,True,0.8543784805726746
"Specialty, экспресс-кофейня","бульвар Эйнштейна, 1",55.701125,37.358489,False,0.9528023180751125
"Снегири, кофейня","бульвар Эйнштейна, 2",55.700775,37.360079,False,0.9665648364940691
"ВкусВилл, кафе","бульвар Эйнштейна, 2",55.700775,37.360079,False,0.9665648364940691
"Здрасте, кофейня","бульвар Эйнштейна, к5",55.701749,37.357465,False,0.9916261835019772
"Coffee, кофейня","Трёхгорная улица, 6",55.696976,37.336705,False,1.034048165908226
"Specialty, экспресс-кофейня","Трёхгорная улица, 4",55.695961,37.335681,False,1.0576897673402028
Do.Bro Кофе,"бульвар Эйнштейна, 3",55.701333,37.361705,False,1.0744135050984656
"Кантата, магазин кофе и сладостей","Западная улица, ст180",55.7005,37.365,False,1.1379676883821368
"Кофе-он мой?, кофейня","улица Нобеля, 5",55.68444,37.342,False,1.174239632139624
"Груша х Рэш, кофейня","улица Нобеля, 3",55.68471,37.3409,False,1.187665677294355
"Табак&вейп, магазин табачной продукции","улица Чистяковой, 1",55.695317,37.333274,False,1.1886925578223344
Кофейня,"улица Нобеля, 1",55.68492,37.33979,False,1.2112194357766626
"Lavendiya coffee&bakery, кофейня","бульвар Эйнштейна, 4",55.702084,37.364697,False,1.2544208813490882
Магазин табачной продукции,"Западная улица, ст4",55.701,37.367,False,1.267633051855581
"Татнефть, точка кофе","Большой бульвар, 62",55.683711,37.337756,False,1.39599342323322
Кафетерий,"Большой бульвар, 67",55.681468,37.341376,False,1.482015441082425
"Здрасте, кофейня","улица Сколковская, 1Б",55.695129,37.324524,False,1.7284716330349674
"Coffee, кофейня","улица Сикорского, 11",55.681458,37.33277,False,1.7900176688202636
"Азбука Вкуса, кофейня","Западная улица, 12",55.709003,37.361553,False,1.8373552225971428
"Oxofoxo, кофейня","улица Сколковская, 3а",55.696387,37.322961,False,1.8458464188428376
"Луви-Луви, кафе","улица Сколковская, 1г",55.694662,37.322287,False,1.8632186170849823
"Lightning, кофейня","Кутузовская улица, 2",55.702328,37.326321,False,1.8874834051829694
"Бодрый, кофейня","Кутузовская улица, 4",55.703814,37.327336,False,1.9282085500606623
"Proper coffee, кофейня","улица Сколковская, 5а",55.697726,37.321721,False,1.9535907108727213
"F42, кофейня","улица Сколковская, 5Б",55.698624,37.320715,False,2.0409047363984434
"Family Home, кафетерий","Можайское шоссе, 1",55.712,37.36,False,2.129756753254655
"Бодрый, кофейня","улица Чистяковой, 67",55.700791,37.320428,False,2.1387124482182336
"Няшки&Вкусняшки, магазин","Кутузовская улица, 25",55.706284,37.32527,False,2.2012565893405664
Кофейня,"улица Чистяковой, 52",55.702886,37.319745,False,2.2764405211131593
Slava Bloom,"Родниковая улица, 22а",55.698406,37.316664,False,2.2793501908061025
Экспресс-кофейня,"Можайское шоссе, 51",55.706705,37.380246,False,2.310516269600281
"Campus coffee, экспресс-кофейня","Новая улица, 100",55.69547,37.39059,False,2.433675836197437
"Кофепорт, кофейня","Новая улица, 100",55.69547,37.39059,False,2.433675836197437
